ID,Genus,Species,Date,Capture time,Plant,Place,Sex,IT (mm),Age.signals,Observer,Correct.cue,First.position,PER.sugar1,PER.water1,Success1,Water.exploring1,PER.sugar2,PER.water2,Success2,Water.exploring2,PER.sugar3,PER.water3,Success3,Water.exploring3,PER.sugar4,PER.water4,Success4,Water.exploring4,PER.sugar5,PER.water5,Success5,Water.exploring5,PER.sugar6,PER.water6,Success6,Water.exploring6,PER.sugar7,PER.water7,Success7,Water.exploring7,PER.sugar.test,PER.water.test,Success.test,Water.exploring.test,Notes,Experimental tube
D5,Nomada,Nomada agrestis,12/03/18,11:00,Lavandula sp.,Carambolo,Female,,No,MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D54,Xylocopa,Xylocopa violacea,05/04/18,11:00,,Carambolo,Male,,Yes,Crowna,Yellow,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
D55,Xylocopa,Xylocopa violacea,05/04/18,11:00,,Carambolo,Male,,Yes,Crowna,Yellow,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,
D56,Andrena,Andrena flavipes,05/04/18,11:00,,Carambolo,Female,,No,Crowna,Yellow,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,No,Yes,No,29,47,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,
D57,Osmia ,Osmia latreillei,05/04/18,11:00,,Carambolo,Male,,No,Crowna,Yellow,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,
D58,Osmia ,Osmia caerulescens,05/04/18,11:00,,Carambolo,Female,,No,Crowna,Yellow,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,No,Yes,No,176,113,No,Yes,No,30,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,,
D59,Osmia ,Osmia caerulescens,05/04/18,11:00,,Carambolo,Male,,No,Crowna,Yellow,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
D60,Xylocopa,Xylocopa violacea,05/04/18,11:00,,Carambolo,Female,,Yes,Patrick,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,Chewing,
D61,Xylocopa,Xylocopa violacea,05/04/18,11:00,,Carambolo,Female,,Yes,Patrick,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,Focused on chewing the blue,
D62,Anthophora,Anthophora retusa,05/04/18,11:00,,Carambolo,Female,,Yes,Patrick,Yellow,Left,NA,NA,NA,NA,RIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dead during experiment,
D63,Anthophora,Anthophora retusa,05/04/18,11:00,,Carambolo,Female,,Yes,Patrick,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RIP,,,,,,,,,,,,Dead during experiment,
D64,Andrena,Andrena flavipes,05/04/18,11:00,,Carambolo,Female,,No,Patrick,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,Dead during experiment,
D65,Andrena ,Andrena angustior,05/04/18,11:00,,Carambolo,Female,,No,Patrick,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,66,No,Yes,7,51,Yes,Yes,47,13,No,Yes,53,41,No,Yes,,
D66,Andrena ,Andrena sp.,05/04/18,11:00,,Carambolo,Male,,No,Patrick,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,13,20,Yes,Yes,98,108,Yes,Yes,51,24,No,Yes,114,83,No,Yes,12,21,Yes,Yes,49,14,No,Yes,,
D35,Bombus,Bombus terrestris,26/03/18,12:30,Anchusa calcarea,La rocina,Male,,No,Patrick,Yellow,Left,39,18,No,Yes,5,12,Yes,Yes,25,22,No,Yes,9,19,Yes,Yes,38,24,No,Yes,5,18,Yes,Yes,19,15,No,Yes,4,10,Yes,Yes,,2.5
D36,Bombus,Bombus terrestris,26/03/18,12:30,Anchusa calcarea,La rocina,Male,,Yes,Cristina,Yellow,Left,5,No,Yes,No,6,22,Yes,Yes,15,89,Yes,Yes,10,5,No,Yes,9,31,Yes,Yes,6,15,Yes,Yes,4,14,Yes,Yes,5,11,Yes,Yes,,2.5
D37,Bombus,Bombus terrestris,26/03/18,12:30,Anchusa calcarea,La rocina,Male,,No,Cristina,Yellow,Left,NA,NA,NA,NA,59,70,Yes,Yes,20,35,Yes,Yes,5,15,Yes,Yes,32,20,No,No,7,17,Yes,Yes,35,16,No,Yes,17,9,No,Yes,,2.5
